Unique_ID,Category,Review_text,Date,Email
136040,smartTv,I liked it,25-Dec-24,spkincident@gmail.com
134236,mobile,"I bought the phone on Amazon and been using my Samsung M30s for couple of weeks now. Delivery experience from Amazon - top notch. The best thing about the phone is its battery life. With normal usage, the battery works for days. With lots of gaming and app usage, it still easily works for 2 days. With 6000 mAH battery life is no problem at all. The 6.4"" super AMOLED display is awesome. The camera notch at top is minimum. Gives a very immersive experience while gaming or watching videos. With 8 core CPU, performance of gaming and other heavy apps is extremely good. The back camera is 48MP triple rear camera. What that means is you can snap photos normally and ultra-wide shots. The night mode is also good. Front camera is also good. No auto-focus for front camera. Optical image stabilisation is missing for both cameras. All in all, the camera is great in the price range. The pricing of the phone makes it a great buy. The build quality is similar to other Samsung phones. Very light weight and sleek phone. Only disadvantage I found is the speakers of this phone. No stereo support and the only speaker at the bottom is very low in volume. Verdict - With the given price range, the battery life, great camera and amazing display makes this phone a great buy !!",9-Oct-24,spkincident@gmail.com
113945,books,"Awesome book at reasonable price, must buy .........",22-Jun-24,spkincident@gmail.com
168076,smartTv,good,11-May-24,spkincident@gmail.com
157302,books,"The book is fine,not bad,contains nice concepts and nicely explained. Likes its concepts.",27-Feb-25,spkincident@gmail.com
146539,smartTv,Nice tv and pic quality .good custmer srrvice my tv install 3 hours Isme home theater kaise lagega,20-Apr-24,spkincident@gmail.com
157661,smartTv,"The iPhone 7 is legitimately among the most interesting, opinionated, powerful phones Apple has ever shipped, and the most confident expressions of the company's vision in a long time. New iOS 11 is excellent, the camera is much better, and the performance is phenomenal (stay away from Android users who say I have 4 - 6 - 8 - or - 100 GB of RAM, iPhone beats everyone in limited resources). Good Stuff - Water resistance - Improved cameras - Better battery life - Great display - Taptic engine feedback is neat Bad Stuff * Trust me these are advanced features that we are not used to if you are then these are Good stuff. - Lack of headphone jack is inconvenient - Wireless audio ecosystem is immature",26-Feb-25,spkincident@gmail.com
110329,mobile,"20000 mAH, what more you need. Super product",17-Jan-25,spkincident@gmail.com
157473,mobile,The company should give more Bettany backup and screen saver,15-Mar-25,spkincident@gmail.com
163223,mobile accessories,Very good phone,8-Feb-25,spkincident@gmail.com
128878,smartTv,Good option,28-Jan-25,spkincident@gmail.com
153393,mobile,Redmi note 6 pro is the best mobile at the best price available in India. no other brands are coming near to its price n performance n quality.,28-Apr-24,spkincident@gmail.com
126986,smartTv,Good,2-Feb-25,spkincident@gmail.com
151904,smartTv,Product is good as expected but after sale service from the company not delivered as promised for free demo and wall mount installation.,6-May-25,spkincident@gmail.com
130407,refrigerator,Good product,15-May-24,spkincident@gmail.com
128968,smartTv,Good phone,7-Sep-24,spkincident@gmail.com
140983,smartTv,"Iâ€™m a fan of Alexa Fire Stick. Its a value for money thing and your TV has whole lot of good options to spend time on. Definitely recommended. Easy user interface and voice control. Thereâ€™s a small lag in voice command, that can be fixed.",3-Aug-24,spkincident@gmail.com
120379,books,Delivered in time. Worth reading.,19-Mar-25,spkincident@gmail.com
112316,mobile,Amazing phone,25-Mar-24,spkincident@gmail.com
162756,mobile,Very good,26-Mar-24,spkincident@gmail.com
165524,smartTv,Wide screen and picture quality is Fine Sound quality is average Easy to connect with all apps,19-Jan-25,spkincident@gmail.com
159823,mobile,This is my second iPhone after SE and this is very big change for me i loved this product Trust me this is best phone in current market,15-Feb-25,spkincident@gmail.com
130319,refrigerator,Good product in this range. Everything is good in this camera. Video quality is really awesome. Focud speed is Really Nice.,15-Jul-24,spkincident@gmail.com
152179,smartTv,Product not working. Carrier not getting detected at all. Please look into it.,12-Aug-24,spkincident@gmail.com
141242,books,"Just make a goal and work to achieve it..you'll find everything else during your journey and if you were doing it from your heart, one day you'll surely achieve your goal.",24-Aug-24,spkincident@gmail.com
164043,mobile,"Very nice and fully satisfied, after discount got it for 35000",4-Dec-24,spkincident@gmail.com
116979,mobile,"Best ever phone I have used.. Gorgeous speed.. Very nice for PUBG.. It has a stunning look.. But, if there was a large battery then it will be a perfect iPhone..",18-Jul-24,spkincident@gmail.com
147568,mobile,Not purchase if you are miui user than it is not like you better life is also not good,29-Mar-25,spkincident@gmail.com
119959,mobile accessories,Compare to the Brice this phone is best phone. And it's battery is speed charging and long lasting.,14-May-25,spkincident@gmail.com
153886,books,Satisfied with this purchase. Must buy,13-Aug-24,spkincident@gmail.com
163138,mobile,Very good mobile,16-Oct-24,spkincident@gmail.com
